,Index,Computing machine,NumberOfFeatures,NumberOfInstances,aml60train,aml60test,aml600train,aml600test,aml1200train,aml1200test,h2o60train,h2o60test,h2o600train,h2o600test,h2o1200train,h2o1200test,tpot60train,tpot60test,tpot600train,tpot600test,tpot1200train,tpot1200test,ag60train,ag60test,ag600train,ag600test,ag1200train,ag1200test,aml60algo,aml600algo,aml1200algo,h2o60algo,h2o600algo,h2o1200algo,tpot60algo,tpot600algo,tpot1200algo,ag60algo,ag600algo,ag1200algo
0,1013,Lab Server,3,138,0.7254,0.4167,0.7254,0.4167,0.7254,0.4167,0.8713,0.6894,0.8676,0.7045,0.5551,0.6818,0.9055,0.5,0.8996,0.4394,0.9055,0.447,0.9,0.5606,0.9,0.5606,0.9,0.3939,bagging,bagging,bagging,GaussianNB,GBM,GBM,GBM,GaussianNB,GaussianNB,CatBoost,CatBoost,KNeighborsDist
1,823,Lab Server,9,20640,0.9984,0.9983,0.9984,0.9983,0.9984,0.9983,1.0,0.9986,1.0,0.9987,0.9996,0.9984,0.9016,0.9061,0.9985,0.9974,0.9985,0.9974,0.9993,0.9987,0.9993,0.9987,0.9993,0.9987,gradient_boosting,gradient_boosting,gradient_boosting,GBM,GBM,GaussianNB,XGBoost,DecisionTreeClassifier,DecisionTreeClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
2,799,Lab Server,6,1000,0.9634,0.9647,0.9634,0.9647,0.9634,0.9647,0.9983,0.964,0.9971,0.9632,0.9941,0.9689,0.9864,0.9582,0.9913,0.959,0.9931,0.9678,0.9735,0.9701,0.9735,0.9701,0.9735,0.9701,mlp,mlp,mlp,XGBoost,GBM,DeepLearning,MLPClassifier,MLPClassifier,MLPClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
3,1004,Lab Server,61,600,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,1.0,1.0,1.0,1.0,0.9992,1.0,0.9992,1.0,0.9992,1.0,1.0,1.0,1.0,1.0,1.0,gradient_boosting,gradient_boosting,gradient_boosting,ExtraTreesClassifier,XGBoost,DeepLearning,XGBoost,ExtraTreesClassifier,ExtraTreesClassifier,CatBoost,CatBoost,CatBoost
4,842,Lab Server,11,60,0.7298,0.88,0.7298,0.88,0.7298,0.88,0.9514,0.94,0.7247,0.46,0.6093,0.64,0.9109,0.9,0.998,0.74,0.9312,0.8,0.85,0.8,0.85,0.8,0.85,0.8,extra_trees,extra_trees,extra_trees,GBM,GradientBoostingClassifier,DeepLearning,DeepLearning,GradientBoostingClassifier,GradientBoostingClassifier,NeuralNetTorch,NeuralNetTorch,NeuralNetTorch
5,1006,Lab Server,19,148,0.9131,0.9662,0.9131,0.9662,0.9131,0.9662,0.9951,0.9735,1.0,0.9765,0.8902,0.8265,0.9836,0.9765,1.0,0.6441,0.9993,0.9015,1.0,0.9676,1.0,0.9676,1.0,0.9676,extra_trees,extra_trees,extra_trees,GBM,GradientBoostingClassifier,GBM,DeepLearning,GradientBoostingClassifier,GradientBoostingClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
6,737,Lab Server,7,3107,0.9255,0.9176,0.9255,0.9176,0.9255,0.9176,0.9914,0.9158,0.9434,0.9142,0.9297,0.919,0.968,0.9211,1.0,0.9391,0.9855,0.9396,0.9279,0.9307,0.9279,0.9307,0.9279,0.9307,mlp,mlp,mlp,GBM,GradientBoostingClassifier,DeepLearning,DeepLearning,KNeighborsClassifier,GradientBoostingClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
7,740,Lab Server,11,1000,0.9579,0.9786,0.9579,0.9786,0.9579,0.9786,0.9932,0.9779,0.9941,0.9749,0.9989,0.983,0.9952,0.9767,1.0,0.9849,1.0,0.9844,0.9751,0.9812,0.9751,0.9812,0.9751,0.9812,gradient_boosting,gradient_boosting,gradient_boosting,XGBoost,ExtraTreesClassifier,XGBoost,XGBoost,ExtraTreesClassifier,ExtraTreesClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
8,1220,Lab Server,10,39948,0.6927,0.7053,0.6927,0.7053,0.6927,0.7053,0.7501,0.7077,0.7423,0.7054,0.7237,0.7054,0.6292,0.6411,0.6932,0.6844,0.6975,0.6873,0.7054,0.7154,0.7055,0.7161,0.7055,0.7161,gradient_boosting,gradient_boosting,gradient_boosting,XGBoost,BernoulliNB,XGBoost,XGBoost,DecisionTreeClassifier,DecisionTreeClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
9,757,Lab Server,22,528,0.8819,0.8484,0.8819,0.8484,0.8819,0.8484,0.9878,0.8382,0.9735,0.8256,0.9817,0.8387,0.9999,0.8405,1.0,0.837,0.9991,0.8604,0.974,0.8308,0.974,0.8308,0.974,0.8308,gradient_boosting,gradient_boosting,gradient_boosting,XGBoost,GradientBoostingClassifier,XGBoost,XGBoost,GradientBoostingClassifier,GradientBoostingClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
